2023-05-06 11:51:36,028 - DEBUG - [info] number of GPUs: 1
2023-05-06 11:51:36,029 - DEBUG - [info] world_size: 1
2023-05-06 11:51:36,032 - DEBUG - train_files: 219
2023-05-06 11:51:36,033 - DEBUG - val_files: 55
2023-05-06 11:51:38,547 - DEBUG - [info] use pretrained weights
2023-05-06 11:51:38,550 - DEBUG - num_epochs: 200
2023-05-06 11:51:38,551 - DEBUG - num_epochs_per_validation: 2
2023-05-06 11:51:38,551 - DEBUG - [info] training from scratch
2023-05-06 11:51:38,551 - DEBUG - [info] amp enabled
2023-05-06 11:51:38,555 - DEBUG - ----------
2023-05-06 11:51:38,555 - DEBUG - epoch 1/200
2023-05-06 11:51:38,555 - DEBUG - learning rate is set to 0.0
2023-05-06 11:56:44,099 - DEBUG - [2023-05-06 11:56:44] 38/110, train_loss: 3.7835
2023-05-06 11:56:44,674 - DEBUG - [2023-05-06 11:56:44] 38/110, train_loss: 3.8129
2023-05-06 11:56:45,308 - DEBUG - [2023-05-06 11:56:45] 39/110, train_loss: 3.7568
2023-05-06 11:56:45,884 - DEBUG - [2023-05-06 11:56:45] 39/110, train_loss: 3.7395
2023-05-06 11:56:46,461 - DEBUG - [2023-05-06 11:56:46] 39/110, train_loss: 3.7005
2023-05-06 11:56:47,036 - DEBUG - [2023-05-06 11:56:47] 39/110, train_loss: 3.7399
2023-05-06 11:56:47,698 - DEBUG - [2023-05-06 11:56:47] 40/110, train_loss: 3.8029
2023-05-06 11:56:48,274 - DEBUG - [2023-05-06 11:56:48] 40/110, train_loss: 3.7815
2023-05-06 11:56:48,850 - DEBUG - [2023-05-06 11:56:48] 40/110, train_loss: 3.6544
2023-05-06 11:56:49,427 - DEBUG - [2023-05-06 11:56:49] 40/110, train_loss: 3.7476
2023-05-06 11:57:26,669 - DEBUG - [2023-05-06 11:57:26] 41/110, train_loss: 3.7507
2023-05-06 11:57:27,241 - DEBUG - [2023-05-06 11:57:27] 41/110, train_loss: 3.8021
2023-05-06 11:57:27,813 - DEBUG - [2023-05-06 11:57:27] 41/110, train_loss: 3.7064
2023-05-06 11:57:28,387 - DEBUG - [2023-05-06 11:57:28] 41/110, train_loss: 3.7669
2023-05-06 11:57:29,068 - DEBUG - [2023-05-06 11:57:29] 42/110, train_loss: 3.7620
2023-05-06 11:57:29,641 - DEBUG - [2023-05-06 11:57:29] 42/110, train_loss: 3.8062
2023-05-06 11:57:30,213 - DEBUG - [2023-05-06 11:57:30] 42/110, train_loss: 3.7920
2023-05-06 11:57:30,787 - DEBUG - [2023-05-06 11:57:30] 42/110, train_loss: 3.7610
2023-05-06 11:57:31,434 - DEBUG - [2023-05-06 11:57:31] 43/110, train_loss: 3.8316
2023-05-06 11:57:32,009 - DEBUG - [2023-05-06 11:57:32] 43/110, train_loss: 3.7601
2023-05-06 11:57:32,584 - DEBUG - [2023-05-06 11:57:32] 43/110, train_loss: 3.7690
2023-05-06 11:57:33,158 - DEBUG - [2023-05-06 11:57:33] 43/110, train_loss: 3.7747
2023-05-06 11:57:33,818 - DEBUG - [2023-05-06 11:57:33] 44/110, train_loss: 3.8158
2023-05-06 11:57:34,393 - DEBUG - [2023-05-06 11:57:34] 44/110, train_loss: 3.7812
2023-05-06 11:57:34,968 - DEBUG - [2023-05-06 11:57:34] 44/110, train_loss: 3.8912
2023-05-06 11:57:35,542 - DEBUG - [2023-05-06 11:57:35] 44/110, train_loss: 3.8795
2023-05-06 11:57:36,191 - DEBUG - [2023-05-06 11:57:36] 45/110, train_loss: 3.7203
2023-05-06 11:57:36,766 - DEBUG - [2023-05-06 11:57:36] 45/110, train_loss: 3.7667
2023-05-06 11:57:37,342 - DEBUG - [2023-05-06 11:57:37] 45/110, train_loss: 3.7729
2023-05-06 11:57:37,917 - DEBUG - [2023-05-06 11:57:37] 45/110, train_loss: 3.7835
2023-05-06 11:57:38,588 - DEBUG - [2023-05-06 11:57:38] 46/110, train_loss: 3.7833
2023-05-06 11:57:39,164 - DEBUG - [2023-05-06 11:57:39] 46/110, train_loss: 3.6540
2023-05-06 11:57:39,740 - DEBUG - [2023-05-06 11:57:39] 46/110, train_loss: 3.6701
2023-05-06 11:57:40,316 - DEBUG - [2023-05-06 11:57:40] 46/110, train_loss: 3.7777
2023-05-06 11:57:40,978 - DEBUG - [2023-05-06 11:57:40] 47/110, train_loss: 3.7086
2023-05-06 11:57:41,554 - DEBUG - [2023-05-06 11:57:41] 47/110, train_loss: 3.8412
2023-05-06 11:57:42,130 - DEBUG - [2023-05-06 11:57:42] 47/110, train_loss: 3.7176
2023-05-06 11:57:42,706 - DEBUG - [2023-05-06 11:57:42] 47/110, train_loss: 3.7046
2023-05-06 11:57:43,361 - DEBUG - [2023-05-06 11:57:43] 48/110, train_loss: 3.8105
2023-05-06 11:57:43,936 - DEBUG - [2023-05-06 11:57:43] 48/110, train_loss: 3.7628
2023-05-06 11:57:44,512 - DEBUG - [2023-05-06 11:57:44] 48/110, train_loss: 3.8531
2023-05-06 11:57:45,087 - DEBUG - [2023-05-06 11:57:45] 48/110, train_loss: 3.8334
2023-05-06 11:58:33,804 - DEBUG - [2023-05-06 11:58:33] 49/110, train_loss: 3.8139
2023-05-06 11:58:34,380 - DEBUG - [2023-05-06 11:58:34] 49/110, train_loss: 3.7567
2023-05-06 11:58:34,955 - DEBUG - [2023-05-06 11:58:34] 49/110, train_loss: 3.7906
2023-05-06 11:58:35,529 - DEBUG - [2023-05-06 11:58:35] 49/110, train_loss: 3.8246
2023-05-06 11:58:36,185 - DEBUG - [2023-05-06 11:58:36] 50/110, train_loss: 3.7562
2023-05-06 11:58:36,761 - DEBUG - [2023-05-06 11:58:36] 50/110, train_loss: 3.8029
2023-05-06 11:58:37,339 - DEBUG - [2023-05-06 11:58:37] 50/110, train_loss: 3.7987
2023-05-06 11:58:37,916 - DEBUG - [2023-05-06 11:58:37] 50/110, train_loss: 3.7293
2023-05-06 11:58:38,579 - DEBUG - [2023-05-06 11:58:38] 51/110, train_loss: 3.8172
2023-05-06 11:58:39,152 - DEBUG - [2023-05-06 11:58:39] 51/110, train_loss: 3.8624
2023-05-06 11:58:39,725 - DEBUG - [2023-05-06 11:58:39] 51/110, train_loss: 3.8431
2023-05-06 11:58:40,303 - DEBUG - [2023-05-06 11:58:40] 51/110, train_loss: 3.8554
2023-05-06 11:58:40,940 - DEBUG - [2023-05-06 11:58:40] 52/110, train_loss: 3.6722
2023-05-06 11:58:41,513 - DEBUG - [2023-05-06 11:58:41] 52/110, train_loss: 3.8156
2023-05-06 11:58:42,087 - DEBUG - [2023-05-06 11:58:42] 52/110, train_loss: 3.7912
2023-05-06 11:58:42,663 - DEBUG - [2023-05-06 11:58:42] 52/110, train_loss: 3.6930
2023-05-06 11:58:43,312 - DEBUG - [2023-05-06 11:58:43] 53/110, train_loss: 3.6115
2023-05-06 11:58:43,886 - DEBUG - [2023-05-06 11:58:43] 53/110, train_loss: 3.6740
2023-05-06 11:58:44,460 - DEBUG - [2023-05-06 11:58:44] 53/110, train_loss: 3.7019
2023-05-06 11:58:45,035 - DEBUG - [2023-05-06 11:58:45] 53/110, train_loss: 3.7550
2023-05-06 11:58:45,686 - DEBUG - [2023-05-06 11:58:45] 54/110, train_loss: 3.7553
2023-05-06 11:58:46,260 - DEBUG - [2023-05-06 11:58:46] 54/110, train_loss: 3.6440
2023-05-06 11:58:46,835 - DEBUG - [2023-05-06 11:58:46] 54/110, train_loss: 3.7531
2023-05-06 11:58:47,410 - DEBUG - [2023-05-06 11:58:47] 54/110, train_loss: 3.6818
2023-05-06 11:58:48,075 - DEBUG - [2023-05-06 11:58:48] 55/110, train_loss: 3.8142
2023-05-06 11:58:48,657 - DEBUG - [2023-05-06 11:58:48] 55/110, train_loss: 3.7772
2023-05-06 11:58:49,232 - DEBUG - [2023-05-06 11:58:49] 55/110, train_loss: 3.7734
2023-05-06 11:58:49,808 - DEBUG - [2023-05-06 11:58:49] 55/110, train_loss: 3.7936
2023-05-06 11:58:50,452 - DEBUG - [2023-05-06 11:58:50] 56/110, train_loss: 3.7762
2023-05-06 11:58:51,027 - DEBUG - [2023-05-06 11:58:51] 56/110, train_loss: 3.7340
2023-05-06 11:58:51,602 - DEBUG - [2023-05-06 11:58:51] 56/110, train_loss: 3.7539
2023-05-06 11:58:52,177 - DEBUG - [2023-05-06 11:58:52] 56/110, train_loss: 3.8174
2023-05-06 11:59:23,105 - DEBUG - [2023-05-06 11:59:23] 57/110, train_loss: 3.7107
2023-05-06 11:59:23,680 - DEBUG - [2023-05-06 11:59:23] 57/110, train_loss: 3.7021
2023-05-06 11:59:24,254 - DEBUG - [2023-05-06 11:59:24] 57/110, train_loss: 3.7694
2023-05-06 11:59:24,828 - DEBUG - [2023-05-06 11:59:24] 57/110, train_loss: 3.7011
2023-05-06 11:59:25,465 - DEBUG - [2023-05-06 11:59:25] 58/110, train_loss: 3.8080
